PORKINS
BARTENDER
HA
HOBBIE
PIETT
GRA
COMMANDER
COMMUNICATION
GUARD
MEDICA
HAN/PILOT
ANAKIN
ASTRO-OFFICER
DACK
BEN
GANTR
MASSASS
JANSON
LUKE
JERJERROD
HAN
BIB
LANDO
NINEDENINE
GOL
FIRS
YODA
SCOUT
BERU
HUMAN
SENIO
GENERA
AUN
SECON
CREATURE
LURE
ZEV
ACKBAR
DODONNA
WOMAN
ASSISTAN
MO
TECHNICIAN
TROOPER
WOMA
CAPTAIN
LEIA
TAGGE
PILO
DERLIN
JABBA
STRANG
OPERATOR
WILLARD
WEDGE
REBE
NAVIGATOR
INTERCO
TARKIN
GREE
OFFICER
LIEUTENANT
CHIE
CONTRO
DEAK
TRACKIN
WALKE
BOB
IMPERIA
CONTROLLER
OWEN
TRENC
OFFICE
DEAT
NEEDA
CAMIE
BAS
VADER
PILOTS
ANNOUNCER
SCOU
RE
OOLA
DEC
WINGMAN
FIXER
VEERS
BOUSHH
PILOT
BIGGS
GREEDO
OZZEL
STORMTROOPER
MAN
BUNKE
VOICE
MOTTI
EMPEROR
TROOPE
Y-WIN
RIEEKAN
VOIC
THREEPIO
HEA
SHUTTL
CHIEF
